category,order
crop1,15
crop2,16
crop3,17
crop4,18
crop5,19
crop6,20
crop7,21
crop8,22
crop9,23
crop10,24
crop11,25
crop12,26
crop13,27
crop14,28
crop15,29
crop16,30
crop17,31
crop18,32
crop19,33
crop20,34
crop21,35
crop22,36
crop23,37
crop24,38
crop25,39
crop26,40
crop27,41
crop28,42
crop29,43
crop30,44
crop31,45
crop32,46
crop33,47
crop34,48
crop35,49
crop36,50
crop37,51
crop38,52
crop39,53
crop40,54
crop41,55
crop42,56
crop43,57
crop44,58
crop45,59
crop46,60
crop47,61
crop48,62
crop49,63
crop50,64
crop51,65
crop52,66
crop53,67
crop54,68
crop55,69
crop56,70
crop57,71
crop58,72
crop59,73
crop60,74
crop61,75
crop62,76
crop63,77
crop64,78
Bare,80
NETT,1
NETB,2
NDTB,3
BETT1,4
BETT2,5
BDTT1,6
BDTT2,7
BDTB,8
BEST,9
BDST,10
BDSB,11
C3Agrass,12
C3grass,13
C4grass,14
urban,79
