Country,GCAM_Region
Burundi,Africa_Eastern
Comoros,Africa_Eastern
Djibouti,Africa_Eastern
Eritrea,Africa_Eastern
Ethiopia,Africa_Eastern
Kenya,Africa_Eastern
Madagascar,Africa_Eastern
Mauritius,Africa_Eastern
Reunion,Africa_Eastern
Rwanda,Africa_Eastern
Sudan,Africa_Eastern
Somalia,Africa_Eastern
Uganda,Africa_Eastern
Algeria,Africa_Northern
Egypt,Africa_Northern
Western Sahara,Africa_Northern
Libya,Africa_Northern
Morocco,Africa_Northern
Tunisia,Africa_Northern
Angola,Africa_Southern
Botswana,Africa_Southern
Lesotho,Africa_Southern
Mozambique,Africa_Southern
Malawi,Africa_Southern
Namibia,Africa_Southern
Swaziland,Africa_Southern
Tanzania,Africa_Southern
Zambia,Africa_Southern
Zimbabwe,Africa_Southern
Benin,Africa_Western
Burkina Faso,Africa_Western
Central African Republic,Africa_Western
Cote d’Ivoire,Africa_Western
Cameroon,Africa_Western
Democratic Republic of the Congo,Africa_Western
Congo,Africa_Western
Cape Verde,Africa_Western
Gabon,Africa_Western
Ghana,Africa_Western
Guinea,Africa_Western
Gambia,Africa_Western
Guinea-Bissau,Africa_Western
Equatorial Guinea,Africa_Western
Liberia,Africa_Western
Mali,Africa_Western
Mauritania,Africa_Western
Niger,Africa_Western
Nigeria,Africa_Western
Senegal,Africa_Western
Sierra Leone,Africa_Western
Sao Tome and Principe,Africa_Western
Chad,Africa_Western
Togo,Africa_Western
Argentina,Argentina
Australia,Australia_NZ
New Zealand,Australia_NZ
Brazil,Brazil
Canada,Canada
Aruba,Central America and the Caribbean
Anguilla,Central America and the Caribbean
Netherlands Antilles,Central America and the Caribbean
Antigua & Barbuda,Central America and the Caribbean
Bahamas,Central America and the Caribbean
Belize,Central America and the Caribbean
Bermuda,Central America and the Caribbean
Barbados,Central America and the Caribbean
Costa Rica,Central America and the Caribbean
Cuba,Central America and the Caribbean
Cayman Islands,Central America and the Caribbean
Dominica,Central America and the Caribbean
Dominican Republic,Central America and the Caribbean
